"species","code","longitude","latitude","source","locality.eflora","plot.lucas","elevation","Forest","Non.Forest","Alpine","coord_prec"
"Veronica odora","CHR431615",169.0988,-45.57557,"eflora","Umbrella Mountains, Gem Lake Cirque.",NA,1400.440552,0,1,1,5
"Veronica odora","CHR431616",169.0988,-45.57557,"eflora","Umbrella Mountains, Gem Lake Cirque.",NA,1400.440552,0,1,1,5
"Veronica odora","CHR 431616",169.099,-45.5756,"gbif",NA,NA,1400.440552,0,1,1,4
"Veronica odora","CHR 431615",169.099,-45.5756,"gbif",NA,NA,1400.440552,0,1,1,4
"Veronica odora","CHR145150",168.5415,-45.5851,"eflora","Mid Dome, 11 Miles. N.N.E. of Lumsden, Southland",NA,1435.672241,0,1,1,4
"Veronica odora","CHR 145150",168.542,-45.5851,"gbif",NA,NA,1435.608154,0,1,1,4
"Veronica odora","AK156132",168.5269657,-45.58668361,"eflora","New Zealand, South Island, Waikaia Ecological Region, Nokomai Ecological District, 17 km north-north-east of Lumsden, Mid Dome",NA,1114.346191,0,1,1,8
"Veronica odora","CHR439284",169.6932,-45.58747,"eflora","Otago, North of Lammerlaw Range, Red Swamp",NA,959.1942749,0,1,1,5
"Veronica odora","CHR 439284",169.693,-45.5875,"gbif",NA,NA,959.6015015,0,1,1,4
"Veronica odora","CHR 439285",169.698,-45.5885,"gbif",NA,NA,978.3914795,0,1,1,4
"Veronica odora","CHR439285",169.6982,-45.58852,"eflora","Otago, North of Lammerlaw Range, Red Swamp",NA,978.3914795,0,1,1,5
"Veronica odora","CHR 105375",169.534,-45.5892,"gbif",NA,NA,918.0258789,0,1,1,4
"Veronica odora","CHR105375",169.534,-45.58921,"eflora","Otago, east southeast of Roxborough, Mt Teviot.",NA,917.1252441,0,1,1,5
"Veronica odora","WELT.SP082690",167.1426041,-45.60018356,"eflora","Centre Pass",NA,1034.209961,0,1,1,8
"Veronica odora","WELT.SP098792",167.1426041,-45.60018356,"eflora","Fiordland, Centre Pass.",NA,1034.209961,0,1,1,8
"Veronica odora","CHR 470238",167.145,-45.6021,"gbif",NA,NA,1150.224243,0,1,1,4
"Veronica odora","CHR 481030",167.145,-45.6021,"gbif",NA,NA,1150.224243,0,1,1,4
"Veronica odora","CHR481030",167.145,-45.60211,"eflora","Fiordland, near Center Pass, south side",NA,1150.224243,0,1,1,5
"Veronica odora",NA,167.9691,-45.6038,"gbif",NA,NA,966.8413086,0,1,1,4
"Veronica odora",NA,167.9679,-45.6046,"gbif",NA,NA,1011.551147,0,1,1,4
"Veronica odora","5153291",168.6153,-45.6164,"lucas",NA,"Y162",814.1484985,0,1,1,4
"Veronica odora","5153292",168.6153,-45.6164,"lucas",NA,"Y162",814.1484985,0,1,1,4
"Veronica odora","WELT.SP081532",169.8647418,-45.61646417,"eflora","Lammermoor Range, road to Ailsa Craig from Old Dunstan Road.",NA,879.640564,0,1,1,8
"Veronica odora","WELT.SP081533",169.8647418,-45.61646417,"eflora","Lammermoor Range, road to Ailsa Craig from Old Dunstan Road.",NA,879.640564,0,1,1,8
"Veronica odora","WELT.SP081534/A",169.8647418,-45.61646417,"eflora","Lammermoor Range, road to Ailsa Craig from Old Dunstan Road.",NA,879.640564,0,1,1,8
"Veronica odora","WELT.SP081534/B",169.8647418,-45.61646417,"eflora","Lammermoor Range, road to Ailsa Craig from Old Dunstan Road.",NA,879.640564,0,1,1,8
"Veronica odora","WELT.SP081535",169.8647418,-45.61646417,"eflora","Lammermoor Range, road to Ailsa Craig from Old Dunstan Road.",NA,879.640564,0,1,1,8
"Veronica odora","WELT.SP081536/A",169.8647418,-45.61646417,"eflora","Lammermoor Range, road to Ailsa Craig from Old Dunstan Road.",NA,879.640564,0,1,1,8
"Veronica odora","WELT.SP081536/B",169.8647418,-45.61646417,"eflora","Lammermoor Range, road to Ailsa Craig from Old Dunstan Road.",NA,879.640564,0,1,1,8
"Veronica odora","WELT.SP081537",169.8647418,-45.61646417,"eflora","Lammermoor Range, road to Ailsa Craig from Old Dunstan Road.",NA,879.640564,0,1,1,8
"Veronica odora",NA,167.9174,-45.6252,"gbif",NA,NA,960,0,1,1,4
"Veronica odora",NA,167.9795,-45.6263,"gbif",NA,NA,611.0759888,0,1,1,4
"Veronica odora",NA,167.9795,-45.6263,"gbif",NA,NA,611.0759888,0,1,1,4
